2020-01-20 16:24:14.253 [main] INFO  guo.proj.javao2o.SpringBootDemoApplication -Starting SpringBootDemoApplication on LAPTOP-IKT7FIPD with PID 9860 (D:\ClassFiles\WebMarketplaceOnCampus\spring-boot-demo\target\classes started by 24965 in D:\ClassFiles\WebMarketplaceOnCampus\spring-boot-demo)
2020-01-20 16:24:14.280 [main] INFO  guo.proj.javao2o.SpringBootDemoApplication -No active profile set, falling back to default profiles: default
2020-01-20 16:26:22.686 [main] INFO  guo.proj.javao2o.SpringBootDemoApplication -Starting SpringBootDemoApplication on LAPTOP-IKT7FIPD with PID 24644 (D:\ClassFiles\WebMarketplaceOnCampus\spring-boot-demo\target\classes started by 24965 in D:\ClassFiles\WebMarketplaceOnCampus\spring-boot-demo)
2020-01-20 16:26:22.690 [main] INFO  guo.proj.javao2o.SpringBootDemoApplication -No active profile set, falling back to default profiles: default
2020-01-20 16:27:13.793 [main] INFO  guo.proj.javao2o.SpringBootDemoApplication -Starting SpringBootDemoApplication on LAPTOP-IKT7FIPD with PID 28244 (D:\ClassFiles\WebMarketplaceOnCampus\spring-boot-demo\target\classes started by 24965 in D:\ClassFiles\WebMarketplaceOnCampus\spring-boot-demo)
2020-01-20 16:27:13.795 [main] INFO  guo.proj.javao2o.SpringBootDemoApplication -No active profile set, falling back to default profiles: default
2020-01-20 16:27:15.406 [main] INFO  guo.proj.javao2o.SpringBootDemoApplication -Started SpringBootDemoApplication in 1.829 seconds (JVM running for 2.856)
2020-01-20 16:28:50.276 [main] INFO  guo.proj.javao2o.SpringBootDemoApplication -Starting SpringBootDemoApplication on LAPTOP-IKT7FIPD with PID 29728 (D:\ClassFiles\WebMarketplaceOnCampus\spring-boot-demo\target\classes started by 24965 in D:\ClassFiles\WebMarketplaceOnCampus\spring-boot-demo)
2020-01-20 16:28:50.279 [main] INFO  guo.proj.javao2o.SpringBootDemoApplication -No active profile set, falling back to default profiles: default
2020-01-20 16:31:22.902 [main] INFO  guo.proj.javao2o.SpringBootDemoApplication -Starting SpringBootDemoApplication on LAPTOP-IKT7FIPD with PID 21416 (D:\ClassFiles\WebMarketplaceOnCampus\spring-boot-demo\target\classes started by 24965 in D:\ClassFiles\WebMarketplaceOnCampus\spring-boot-demo)
2020-01-20 16:31:22.904 [main] INFO  guo.proj.javao2o.SpringBootDemoApplication -No active profile set, falling back to default profiles: default
2020-01-20 16:31:24.242 [main] INFO  guo.proj.javao2o.SpringBootDemoApplication -Started SpringBootDemoApplication in 1.559 seconds (JVM running for 2.58)
2020-01-20 16:32:12.706 [main] INFO  guo.proj.javao2o.SpringBootDemoApplication -Starting SpringBootDemoApplication on LAPTOP-IKT7FIPD with PID 27592 (D:\ClassFiles\WebMarketplaceOnCampus\spring-boot-demo\target\classes started by 24965 in D:\ClassFiles\WebMarketplaceOnCampus\spring-boot-demo)
2020-01-20 16:32:12.708 [main] INFO  guo.proj.javao2o.SpringBootDemoApplication -No active profile set, falling back to default profiles: default
2020-01-20 16:32:14.119 [main] INFO  guo.proj.javao2o.SpringBootDemoApplication -Started SpringBootDemoApplication in 1.641 seconds (JVM running for 3.549)
2020-01-20 16:44:25.264 [main] INFO  guo.proj.javao2o.dao.AreaDaoTest -Starting AreaDaoTest on LAPTOP-IKT7FIPD with PID 16912 (started by 24965 in D:\ClassFiles\WebMarketplaceOnCampus\spring-boot-demo)
2020-01-20 16:44:25.265 [main] INFO  guo.proj.javao2o.dao.AreaDaoTest -No active profile set, falling back to default profiles: default
